ああ,嗚呼,Ah!;Oh!;Alas!
せいせき,成績,results;record
せいぜい,精々,at the most;at best;to the utmost;as much (far) as possible
せいぜん,整然,orderly;regular;well-organized;trim;accurate
せいそう,盛装,be dressed up;wear rich clothes
せいそう,清掃,cleaning
せいぞう,製造,manufacture;production
せいぞん,生存,existence;being;survival
せいだい,盛大,grand;prosperous;magnificent
せいだく,清濁,good and evil;purity and impurity
せいちょう,成長,growth;grow to adulthood
せいてい,制定,enactment;establishment;creation
せいてき,静的,static
せいてつ,製鉄,iron manufacture
せいてん,晴天,fine weather
せいと,生徒,pupil
せいとう,正当,just;justifiable;right;due;proper;equitable;reasonable;legitimate;lawful
せいとう,政党,(member of) political party
せいど,制度,system;institution;organization
せいねん,成年,majority;adult age
せいねん,青年,youth;young man
せいねんがっぴ,生年月日,birth date
せいのう,性能,ability;efficiency
せいひん,製品,manufactured goods;finished goods
せいび,整備,adjustment;completion;consolidation
せいふ,政府,government;administration
せいふく,制服,uniform
せいふく,征服,conquest;subjugation;overcoming
せいぶつ,生物,living things;creature
せいぶん,成分,ingredient;component;composition
せいべつ,性別,distinction by sex;sex;gender
せいほう,製法,manufacturing method;recipe;formula
せいほうけい,正方形,square
せいみつ,精密,precise;exact;detailed;minute;close
せいめい,声明,declaration;statement;proclamation
せいめい,姓名,full name
せいめい,生命,life;existence
せいもん,正門,main gate;main entrance
せいやく,制約,limitation;restriction;condition;constraints
せいよう,西洋,the west;Western countries
せいり,生理,physiology;menses
せいり,整理,sorting;arrangement;adjustment;regulation
せいりつ,成立,coming into existence;arrangements;establishment;completion
せいりょく,勢力,influence;power;might;strength;potency;force;energy
せいれき,西暦,Christian Era;anno domini (A.D.)
せいれつ,整列,stand in a row;form a line
せかい,世界,the world;society;the universe
せかす,急かす,to hurry;to urge on
せがれ,伜,son;my son
せき,席,seat
せき,咳,cough
せきたん,石炭,coal
せきどう,赤道,equator
せきにん,責任,duty;responsibility
せきむ,責務,duty;obligation
せきゆ,石油,oil;petroleum;kerosene
せけん,世間,world;society
せじ,世辞,flattery;compliment
せたい,世帯,household
せだい,世代,generation;the world;the age
せっかい,切開,clearing (land);opening up;cutting through
せっかく,折角,with trouble;at great pains;long-awaited
せっきょくてき,積極的,positive;active;proactive
せっきん,接近,getting closer;drawing nearer;approaching
せっけい,設計,plan;design
せっけん,石鹸,soap
せっしょく,接触,touch;contact
せっする,接する,to come in contact with;to connect;to attend;to receive
せっち,設置,establishment;institution
せっちゅう,折衷,compromise;cross;blending;eclecticism
せってい,設定,establishment;creation
せっとく,説得,persuasion
せつ,節,node;section;occasion;time
せつ,説,theory
せつじつ,切実,compelling;serious;severe;acute;earnest;pressing;urgent
せつぞく,接続,connection;union;join;link
せつぞくし,接続詞,conjunction
せつない,切ない,painful;trying;oppressive;suffocating
せつび,設備,equipment;device;facilities;installation
せつめい,説明,explanation;exposition
せつやく,節約,economising;saving
せつりつ,設立,establishment;foundation;institution
せともの,瀬戸物,earthenware;crockery;china
せなか,背中,back (of body)
せびろ,背広,business suit
せまい,狭い,narrow;confined;small
せまる,迫る,to draw near;to press
せめ,攻め,attack;offence
せめる,攻める,to attack;to assault
せめる,責める,to condemn;to blame;to criticize
せりふ,台詞,speech;words;one's lines;remarks
せろん,世論,public opinion
せわ,世話,looking after;help;aid;assistance
せん,千,(num) 1 000;thousand
せん,仙,hermit;wizard
せん,線,line (also telephone  railway);wire;beam
せん,前,before
せんい,繊維,fibre;fiber;textile
せんきょ,選挙,election
せんきょう,宣教,religious mission
せんげん,宣言,declaration;proclamation;announcement
せんこう,先行,preceding;going first
せんこう,選考,selection;screening
せんこう,専攻,major subject;special study
せんさい,戦災,war damage
せんざい,洗剤,detergent;washing material
せんしゅ,選手,player (in game)
せんしゅう,専修,specialization
せんじつ,先日,the other day;a few days ago
せんじゅつ,戦術,tactics
せんす,扇子,folding fan
せんすい,潜水,diving
せんせい,先生,teacher;master;doctor
せんせい,専制,despotism;autocracy
せんせんげつ,先先月,month before last
せんせんしゅう,先先週,week before last
せんそう,戦争,war
せんぞ,先祖,ancestor
せんたく,洗濯,washing;laundry
せんたく,選択,selection;choice
せんたん,先端,pointed end;tip;fine point;spearhead;cusp;vanguard;advanced;leading edge
せんだい,先代,family predecessor;previous age;previous generation
せんだって,先だって,recently;the other day
せんちゃく,先着,first arrival
せんてんてき,先天的,a priori;inborn;innate;inherent;congenital;hereditary
せんでん,宣伝,propaganda;publicity
せんとう,戦闘,battle;fight;combat
せんとう,先頭,head;lead;vanguard;first
せんにゅう,潜入,infiltration;sneaking in
せんぱい,先輩,senior (at work or school);superior;elder;older graduate;progenitor;old-timer
せんぱく,船舶,ship
せんぷうき,扇風機,electric fan
せんめん,洗面,wash up (one's face);have a wash
せんもん,専門,speciality;subject of study;expert
せんよう,専用,exclusive use;personal use
せんりょう,占領,occupation;capture;possession;have a room to oneself
せんりょく,戦力,war potential
せんろ,線路,line;track;roadbed
ぜいかん,税関,customs house
ぜいきん,税金,tax;duty
ぜいたく,贅沢,luxury;extravagance
ぜいむしょ,税務署,tax office
ぜせい,是正,correction;revision
ぜったい,絶対,absolute;unconditional;absoluteness
ぜっぱん,絶版,out of print
ぜつぼう,絶望,despair;hopelessness
ぜつめつ,絶滅,destruction;extinction
ぜひ,是非,certainly;without fail
ぜひとも,是非とも,"by all means (with sense of not taking ""no"" for an answer)"
ぜん,膳,(small) table;tray;meal
ぜん,禅,Zen (Buddhism)
ぜん,善,good;goodness;right;virtue
ぜん,全,all;whole;entire;complete;overall;pan
ぜんいん,全員,all members (unanimity);all hands;the whole crew
ぜんかい,全快,complete recovery of health
ぜんこく,全国,country-wide;nation-wide;whole country;national
ぜんご,前後,around;throughout;front and back;before and behind;before and after;about that (time);longitudinal;context;nearly;approximately
ぜんしゃ,前者,the former
ぜんしゅう,全集,complete works
ぜんしん,全身,the whole body;full-length (portrait)
ぜんしん,前進,advance;drive;progress
ぜんせい,全盛,height of prosperity
ぜんぜん,全然,wholly;entirely;completely;not at all (neg. verb)
ぜんたい,全体,whole;entirety;whatever (is the matter)
ぜんてい,前提,preamble;premise;reason;prerequisite
ぜんと,前途,future prospects;outlook;the journey ahead
ぜんぱん,全般,(the) whole;universal;wholly;general
ぜんぶ,全部,all;entire;whole;altogether
ぜんめつ,全滅,annihilation
ぜんりょう,善良,goodness;excellence;virtue
ぜんりょく,全力,all one's power;whole energy
ぜんれい,前例,precedent
そう,僧,monk;priest
そう,沿う,to run along;to follow
そう,添う,to accompany;to become married;to comply with
そう,,so;really;seeming
そう,総,whole;all;general;gross
そうい,相違,difference;discrepancy;variation
そうおう,相応,suitability;fitness
そうおん,騒音,noise
そうかい,総会,general meeting
そうかん,創刊,launching (e.g. newspaper);first issue
そうきん,送金,remittance;sending money
そうこ,倉庫,storehouse;warehouse;godown
そうこう,走行,running a wheeled vehicle (e.g. car);traveling
そうご,相互,mutual;reciprocal
そうごう,総合,synthesis;coordination;putting together;integration;composite
そうさ,捜査,search (esp. in criminal investigations);investigation
そうさ,操作,operation;management;processing
そうさく,捜索,search (esp. for someone or something missing);investigation
そうさく,創作,production;literary creation;work
そうしき,葬式,funeral
そうして,然うして,and;like that
そうしょく,装飾,ornament
そうじ,掃除,cleaning;sweeping
そうじゅう,操縦,management;handling;control;manipulation
そうぞう,創造,creation
そうぞう,想像,imagination;guess
そうぞうしい,騒々しい,noisy;boisterous
そうぞく,相続,succession;inheritance
そうだい,壮大,magnificent;grand;majestic;splendid
そうだん,相談,consultation;discussion
そうち,装置,equipment;installation;apparatus
そうとう,相当,suitable;fair;tolerable;proper
そうどう,騒動,strife;riot;rebellion
そうなん,遭難,disaster;shipwreck;accident
そうば,相場,market price;speculation;estimation
そうび,装備,equipment
そうべつ,送別,farewell;send-off
そうりだいじん,総理大臣,Prime Minister
そうりつ,創立,establishment;founding;organization
そうりょう,送料,postage;carriage
そえる,添える,to add to;to attach;to append;to accompany;to garnish;to imitate;to annex
そくざに,即座に,immediately;right away
そくしん,促進,promotion;acceleration;encouragement;facilitation;spurring on
そくする,即する,to conform to;to agree with;to be adapted to;to be based on
そくたつ,速達,express;special delivery
そくてい,測定,measurement
そくど,速度,speed;velocity;rate
そくばく,束縛,restraint;shackles;restriction;confinement;binding
そくめん,側面,side;flank;sidelight;lateral
そくりょう,測量,measurement;surveying
そくりょく,速力,speed
そこ,其処,that place;there
そこ,底,bottom;sole
そこで,其処で,so (conj);accordingly;now;then;thereupon
そこなう,損なう,to harm;to hurt;to injure;to damage;to fail in doing
そこら,其処ら,everywhere;somewhere;approximately;that area;around there
そざい,素材,raw materials;subject matter
そし,阻止,obstruction;check;hindrance;prevention;interdiction
そしき,組織,organization;system;construction
そしつ,素質,character;qualities;genius
そして,然して,and
そしょう,訴訟,litigation;lawsuit
そせん,祖先,ancestor
そそぐ,注ぐ,to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
そそっかしい,,careless;thoughtless
そだち,育ち,breeding;growth
そだつ,育つ,to raise (child);to be brought up;to grow (up)
そだてる,育てる,to be brought up;to raise;to rear;to bring up
そち,措置,measure;step
そちら,其方,over there;the other
そっくり,,all;altogether;entirely;be just like;the splitting image of
そっけない,素っ気ない,cold;short;curt;blunt
そっちょく,率直,frankness;candour;openheartedness
そっと,,softly;secretly
そっぽ,外方,look (or turn) the other way
そつぎょう,卒業,graduation
そで,袖,sleeve
そと,外,outside
そなえつける,備え付ける,to provide;to furnish;to equip;to install
そなえる,備える,to furnish;to provide for;to equip;to install;to have ready;to prepare for;to possess;to have;to be endowed with;to be armed with
そなわる,備わる,to be furnished with;to be endowed with;to possess;to be among;to be one of;to be possessed of
その,園,garden;park;plantation
そのうえ,その上,in addition;furthermore
そのうち,その内,eventually;sooner or later;of the previously mentioned
そのため,その為,hence;for that reason
そのほか,その外,besides;in addition;the rest
そのまま,其の儘,without change;as it is (i.e. now)
そば,蕎麦,soba (buckwheat noodles)
そびえる,聳える,to rise;to tower;to soar
そふ,祖父,grandfather
そぼ,祖母,grandmother
そぼく,素朴,simplicity;artlessness;naivete
そまつ,粗末,crude;rough;plain;humble
そまる,染まる,to dye
そむく,背く,to run counter to;to go against;to disobey;to infringe
そめる,染める,to dye;to colour
そらす,逸らす,to turn away;to avert
そり,反り,warp;curvature;curve;arch
それ,其れ,it;that
それから,其れから,and then;after that
それぞれ,各々,each;every;either;respectively;severally
それで,其れで,and (conj);thereupon;because of that
それでは,其れでは,in that situation;well then ...
それでも,其れでも,but (still);and yet;nevertheless;even so;notwithstanding
それとも,其れ共,or;or else
それなら,其れなら,If that's the case...;If so...;That being the case...
それに,其れに,besides;moreover
それほど,其れ程,to that degree;extent
それゆえ,其れ故,therefore;for that reason;so
それる,逸れる,to stray (turn) from subject;to get lost;to go astray
そろい,揃い,set;suit;uniform
そろう,揃う,to become complete;to be equal;to be all present;to gather
そろえる,揃える,to put things in order;to arrange;to make uniform;to get something ready
そろそろ,徐々,gradually;steadily;quietly;slowly;soon
そろばん,算盤,abacus
そんがい,損害,damage;injury;loss
そんけい,尊敬,respect;esteem;reverence;honour
そんざい,存在,existence;being
そんしつ,損失,loss
そんぞく,存続,duration;continuance
そんちょう,尊重,respect;esteem;regard
そんとく,損得,loss and gain;advantage and disadvantage
そんな,,such;like that;that sort of
ぞい,沿い,along
ぞう,像,statue;image;figure;picture;portrait
ぞうか,増加,increase;addition
ぞうきょう,増強,augment;reinforce;increase
ぞうきん,雑巾,house-cloth;dust cloth
ぞうげん,増減,increase and decrease;fluctuation
ぞうしょう,蔵相,Minister of Finance
ぞうしん,増進,promoting;increase;advance
ぞうせん,造船,shipbuilding
ぞうだい,増大,enlargement
ぞうり,草履,zoori (Japanese footwear);sandals
ぞくする,属する,to belong to;to come under;to be affiliated with;to be subject to
ぞくぞく,続々,successively;one after another
ぞんざい,,rude;careless;slovenly
ぞんじる,存じる,to know
た,田,rice field
たい,他意,ill will;malice;another intention;secret purpose;ulterior motive;fickleness;double-mindedness
たい,対,ratio;versus;against;opposition
たいいく,体育,physical education;gymnastics;athletics
たいいん,退院,leaving hospital
たいおう,対応,interaction;correspondence;coping with;dealing with
たいおん,体温,temperature (body)
たいか,退化,degeneration;retrogression
たいかい,大会,convention;tournament;mass meeting;rally
たいかく,体格,physique;constitution
たいがい,大概,in general;mainly
たいがく,退学,dropping out of school
たいき,大気,atmosphere
たいきん,大金,great cost
たいくつ,退屈,tedium;boredom
たいぐう,待遇,treatment;reception
たいけい,体系,system;organization
たいけつ,対決,confrontation;showdown
たいけん,体験,personal experience
たいこ,太鼓,drum;tambourine
たいこう,対抗,opposition;antagonism
たいさく,対策,counter-plan;counter-measure
たいざい,滞在,stay;sojourn
たいし,大使,ambassador
たいした,大した,considerable;great;important;significant;a big deal
たいして,対して,for;in regard to;per
たいしゅう,大衆,general public
たいしょ,対処,deal with;cope
たいしょう,対象,target;object (of worship  study  etc);subject (of taxation  etc)
たいしょう,対照,contrast;antithesis;comparison
たいしょく,退職,retirement (from office)
たいじ,退治,extermination
たいじゅう,体重,one's body weight
たいする,対する,to face;to confront;to oppose
たいせい,態勢,attitude;conditions;preparations
たいせい,体制,order;system;structure;set-up;organization
たいせき,体積,capacity;volume
たいせつ,大切,important
たいせん,大戦,great war;great battle
たいそう,体操,gymnastics;physical exercises;calisthenics
たいだん,対談,talk;dialogue;conversation
たいてい,大抵,usually;generally
たいとう,対等,equivalent
たいど,態度,attitude;manner
たいのう,滞納,non-payment;default
たいはん,大半,majority;mostly;generally
たいひ,対比,contrast;comparison
たいふう,台風,typhoon
たいぶ,大部,most (e.g. most part);greater;fairly;a good deal;much
たいへん,対辺,(geometrical) opposite side
たいほ,逮捕,arrest;apprehension;capture
たいぼう,待望,expectant waiting
たいぼく,大木,large tree
たいまん,怠慢,negligence;procrastination;carelessness
たいめん,対面,interview;meeting
たいよう,太陽,sun;solar
たいら,平ら,flatness;level;smooth;calm;plain;sitting tailor fashion
たいりく,大陸,continent
たいりつ,対立,confrontation;opposition;antagonism
たいりょく,体力,physical strength
たいわ,対話,interactive;interaction;conversation;dialogue
たうえ,田植え,rice planting
たえず,絶えず,constantly
たえる,耐える,to bear;to endure
たえる,絶える,to die out;to peter out;to become extinct
たえる,堪える,to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to
たおす,倒す,to throw down;to beat;to bring down;to blow down;to fell;to knock down;to trip up;to defeat;to ruin;to overthrow;to kill;to leave unpaid;to cheat
たおれる,倒れる,to collapse;to break down;to go bankrupt;to fall;to drop;to die;to succumb to;to fall senseless;to be ruined;to have a bad debt
たか,高,quantity;amount;volume;number;amount of money
たかい,高い,tall;high;expensive
たかまる,高まる,to rise;to swell;to be promoted
たかめる,高める,to raise;to lift;to boost
たから,宝,treasure
たがい,互い,mutual;reciprocal
たがやす,耕す,to till;to plow;to cultivate
たき,滝,waterfall
たきび,焚火,(open) fire
たく,宅,house;home;husband
たく,炊く,to boil;to cook
たくさん,沢山,many;a lot;much
たくましい,逞しい,burly;strong;sturdy
たくみ,巧み,skill;cleverness
たくわえる,蓄える,to store;to lay in stock
たぐい,類,a kind
たけ,丈,height;stature;length;measure;all (one has)
たけ,竹,bamboo;middle (of a three-tier ranking system)
たしか,確,certain;sure;definite;if I'm not mistaken;if I remember correctly
たしか,確か,certain;sure;definite;if I'm not mistaken;if I remember correctly
たしかめる,確かめる,to ascertain
たしざん,足し算,addition
たしょう,多少,more or less;somewhat;a little;some
たす,足す,to add (numbers);to do (e.g. one's business)
たすうけつ,多数決,majority rule
たすかる,助かる,to be saved;to be rescued;to survive;to be helpful
たすけ,助け,assistance
たすける,助ける,to help;to save;to rescue;to give relief to;to spare (life);to reinforce;to promote;to abet
たずさわる,携わる,to participate;to take part
たずねる,訪ねる,to visit
たずねる,尋ねる,to ask;to enquire
たたかい,戦い,battle;fight;struggle;conflict
たたかう,戦う,to fight;to battle;to combat;to struggle against;to wage war;to engage in contest
たたく,叩く,to strike;to clap;to dust;to beat
たたむ,畳む,to fold (clothes)
ただ,只,free;only
ただ,唯,free of charge;mere;sole;usual;common
ただいま,ただ今,Here I am;I'm home!;presently;right away;right now;just now
ただし,但し,but;however;provided that
ただしい,正しい,right;just;correct;righteous;honest;truthful;proper;straightforward;perfect
ただちに,直ちに,at once;immediately;directly;in person
ただよう,漂う,to drift about;to float;to hang in air
たち,館,1.  mansion;small castle
たちあがる,立ち上がる,to stand up
たちかた,立方,dancing (geisha)
たちさる,立ち去る,to leave;to depart;to take one's leave
たちどまる,立ち止まる,to stop;to halt;to stand still
たちば,立場,standpoint;position;situation
たちまち,忽ち,at once;in a moment;suddenly;all at once
たちよる,立ち寄る,to stop by;to drop in for a short visit
たっしゃ,達者,skillful;in good health
たっする,達する,to reach;to get to
たっせい,達成,achievement
たった,,only;merely;but;no more than
たっとい,尊い,precious;valuable;priceless;noble;exalted;sacred
たっとい,貴い,precious;valuable;priceless;noble;exalted;sacred
たっとぶ,尊ぶ,to value;to prize;to esteem
たっぷり,,full;in plenty;ample
たつ,絶つ,to sever;to cut off;to suppress;to abstain (from)
たつ,立つ,to stand;to erect;to be erected;to rise;to be built
たつ,建つ,to stand;to erect;to be erected;to rise;to be built
たつ,発つ,to depart (on a plane  train  etc.)
たつ,経つ,to pass;to lapse
たて,盾,shield;buckler;escutcheon;pretext
たて,縦,length;height
たてかえる,立て替える,to pay in advance;to pay for another;to pay someone else's debt as a loan to him
たてまえ,建前,face;official stance;public position or attitude (as opposed to private thoughts)
たてまつる,奉る,to offer;to present;to revere;to do respectfully
たてもの,建物,building
たてる,立てる,to stand (something) up;to erect (something)
たてる,建てる,to build;to construct
たとえ,例え,example;even if;if;though;although
たとえ,仮令,example;even if;if;though;although
たとえば,例えば,for example;e.g.
たとえる,例える,to compare;to liken;to speak figuratively;to illustrate;to use a simile
たどうし,他動詞,transitive verb (direct obj)
たどりつく,辿り着く,to grope along to;to struggle on to;to arrive somewhere after a struggle
たどる,辿る,to follow (road);to pursue (course);to follow up
たな,棚,shelves;rack
たなごころ,掌,the palm
たに,谷,valley
たのしい,楽しい,enjoyable;fun
たのしみ,楽しみ,enjoyment;pleasure
たのしむ,楽しむ,to enjoy oneself
たのみ,頼み,request;favor;reliance;dependence
たのむ,頼む,to request;to beg;to ask
たのもしい,頼もしい,reliable;trustworthy;hopeful;promising
たば,束,bundle;bunch;sheaf;coil
たばこ,煙草,(pt:) (n) (uk) tobacco (pt: tabaco);cigarettes
たばねる,束ねる,to tie up in a bundle;to govern;to manage;to control;to fold (one's arms);to administer
たび,足袋,tabi;Japanese socks (with split toe)
たび,度,times (three times  etc.);degree
たび,旅,travel;trip;journey
たびたび,度々,often;repeatedly;frequently
たぶん,多分,perhaps;probably
たべる,食べる,to eat
たほう,他方,another side;different direction;(on) the other hand
たぼう,多忙,busy;pressure of work
たま,弾,bullet;shot;shell
たま,球,globe;sphere;ball
たまう,給う,to receive;to grant
たまご,卵,1.  egg(s);spawn;roe; 2.  (an expert) in the making
たまたま,偶々,casually;unexpectedly;accidentally;by chance
たまに,偶に,occasionally;once in a while
たまらない,堪らない,intolerable;unbearable;unendurable
たまり,溜まり,collected things;gathering place;arrears
たまる,溜まる,to collect;to gather;to save
たまわる,賜る,to grant;to bestow
ため,為,good;advantage;benefit;welfare;sake;to;in order to;because of;as a result of
ためいき,溜息,a sigh
ためし,試し,trial;test
ためし,例,instance;example;case;precedent;experience;custom;usage;parallel;illustration
ためす,試す,to attempt;to test
ためらう,躊躇う,to hesitate
たもつ,保つ,to keep;to preserve;to hold;to retain;to maintain;to support;to sustain;to last;to endure;to keep well (food);to wear well;to be durable
たやすい,容易い,easy;simple;light
たよう,多様,diversity;variety
たより,便り,news;tidings;information;correspondence;letter
たよる,頼る,to rely on;to have recourse to;to depend on
たりる,足りる,to be sufficient;to be enough
たる,足る,to be sufficient;to be enough
たるみ,弛み,slack;slackening;dullness;letdown
たるむ,弛む,to slacken;to loosen;to relax
たれ,誰,adjectival suffix for a person
たれる,垂れる,to hang;to droop;to drop;to lower;to pull down;to dangle;to sag;to drip;to ooze;to trickle;to leave behind (at death);to give;to confer
たん,歎,grief;sigh;lamentation
たん,反,roll of cloth (c. 10 yds.);.245 acres;300 tsubo
たんい,単位,unit;denomination;credit (in school)
たんいつ,単一,single;simple;sole;individual;unitory
たんか,短歌,tanka;31-syllable Japanese poem
たんか,担架,stretcher;litter
たんき,短気,quick temper
たんき,短期,short term
たんけん,探検,exploration;expedition
たんこう,炭鉱,coal mine;coal pit
たんご,単語,word;vocabulary;single-character word
たんしゅく,短縮,shortening;abbreviation;reduction
たんしょ,短所,defect;demerit;weak point
たんじゅん,単純,simplicity
たんじょう,誕生,birth
たんす,箪笥,chest of drawers
たんすい,淡水,fresh water
たんすう,単数,singular (number)
たんそ,炭素,carbon (C)
たんだい,短大,junior college
たんちょう,単調,monotony;monotone;dullness
たんとう,担当,(in) charge
たんどく,単独,sole;independence;single;solo (flight)
たんなる,単なる,mere;simple;sheer
たんに,単に,simply;merely;only;solely
たんぱ,短波,short wave
たんぱくしつ,蛋白質,protein
たんぺん,短編,short (e.g. story  film)
だい,台,stand;rack;table;support
だい,題,title;subject;theme;topic
だい,第,ordinal
だいいち,第一,first;foremost;# 1
だいがく,大学,university
だいがくいん,大学院,graduate school
だいきん,代金,price;payment;cost;charge;the money;the bill
だいく,大工,carpenter
だいしょう,大小,size
だいじょうぶ,大丈夫,safe;all right;O.K.
だいじん,大臣,cabinet minister
だいたい,大体,general;substantially;outline;main point
だいたん,大胆,bold;daring;audacious
だいとうりょう,大統領,president;chief executive
だいどころ,台所,kitchen
だいなし,台無し,mess;spoiled;(come to) nothing
だいひょう,代表,representative;representation;delegation;type;example;model
だいぶ,大分,considerably;greatly;a lot
だいぶぶん,大部分,most part;greater part;majority
だいべん,大便,feces;excrement;shit
だいべん,代弁,pay by proxy;act for another;speak for another
だいほん,台本,libretto;scenario
だいめい,題名,title
だいめいし,代名詞,pronoun
だいよう,代用,substitution
だいり,代理,representation;agency;proxy;deputy;agent;attorney;substitute;alternate;acting (principal  etc.)
だえん,楕円,ellipse
だかい,打開,break in the deadlock
だから,,so;therefore
だきょう,妥協,compromise;giving in
だけ,丈,only;just;as
だけつ,妥結,agreement
だけど,,however
だげき,打撃,1.  blow;shock;strike;damage; 2.  batting (baseball)
ださく,駄作,poor work;rubbish
だす,出す,to put out;to send
だっこ,抱っこ,(child's) hug
だっしゅつ,脱出,escape
だっする,脱する,to escape from;to get out
だっせん,脱線,derailment;digression
だったい,脱退,secession
だったら,,if it's the case
だって,,but;because;even;also;too
だとう,妥当,valid;proper;right;appropriate
だぶだぶ,,loose;baggy
だます,騙す,to trick;to cheat;to deceive
だまる,黙る,to be silent
だめ,駄目,useless;no good;hopeless
だらけ,,implying (negatively) that something is full of  e.g. mistakes
だらしない,,slovenly;loose;a slut
だるい,怠い,sluggish;feel heavy;languid;dull
だれか,誰か,someone;somebody
だん,段,step;stair;flight of steps;grade;rank;level
だん,壇,1.  platform;podium;rostrum; 2.  (arch) mandala
だんかい,段階,gradation;grad;stage
だんけつ,団結,unity;union;combination
だんげん,断言,declaration;affirmation
だんし,男子,youth;young man
だんすい,断水,water outage
だんせい,男性,male;man
だんぜん,断然,firmly;absolutely;definitely
だんたい,団体,organization;association
だんだん,段々,gradually;by degrees
だんち,団地,multi-unit apartments
だんてい,断定,conclusion;decision
だんな,旦那,master (of house);husband (informal)
だんぼう,暖房,heating
だんめん,断面,cross section
だんりょく,弾力,elasticity;flexibility
ち,血,blood;consanguinity
ち,地,earth
ちあん,治安,public order
ちい,地位,(social) position;status
ちいき,地域,area;region
ちいさい,小さい,small;little;tiny
ちえ,知恵,wisdom;wit;sagacity;sense;intelligence;advice
ちか,地下,basement;underground
ちかい,近い,near;close by;short
ちかう,誓う,to swear;to vow;to take an oath;to pledge
ちかく,近く,near;neighbourhood;vicinity
ちかごろ,近頃,lately;recently;nowadays
ちかすい,地下水,underground water
ちかづく,近付く,to approach;to get near;to get acquainted with;to get closer
ちかづける,近付ける,to bring near;to put close;to let come near;to associate with
ちかてつ,地下鉄,underground train;subway
ちかよる,近寄る,to approach;to draw near
ちから,力,force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources
ちからづよい,力強い,reassuring;emboldened
ちがい,違い,difference;discrepancy
ちがいない,違いない,(phrase) sure;no mistaking it;for certain
ちがう,違う,to differ (from)
ちがえる,違える,to change
ちきゅう,地球,the earth
ちぎる,契る,to pledge;to promise;to swear
ちく,地区,district;section;sector
ちくさん,畜産,animal husbandry
ちくしょう,畜生,beast;brute;damn
ちくせき,蓄積,accumulation;accumulate;store
ちこく,遅刻,lateness;late coming
ちしき,知識,knowledge;information
ちしつ,地質,geological features
ちじ,知事,prefectural governor
ちじん,知人,friend;acquaintance
ちず,地図,map
ちせい,知性,intelligence
ちたい,地帯,area;zone
ちち,乳,milk;breast;loop
ちち,父,father
ちちおや,父親,father
ちちはは,父母,father and mother;parents
ちぢまる,縮まる,to be shortened;to be contracted;to shrink
ちぢむ,縮む,to shrink;to be contracted
ちぢめる,縮める,to shorten;to reduce;to boil down;to shrink
ちぢれる,縮れる,to be wavy;to be curled
ちっそく,窒息,suffocation
ちっとも,些とも,not at all (neg. verb)
ちつじょ,秩序,order;regularity;system;method
ちてき,知的,intellectual
ちてん,地点,site;point on a map
ちのう,知能,brain
ちへいせん,地平線,horizon
ちめい,地名,place name
ちゃ,茶,tea
ちゃいろ,茶色,light brown;tawny
ちゃく,著,counter for suits of clothing;arriving at ..
ちゃく,着,counter for suits of clothing;arriving at ..
ちゃくしゅ,着手,embarkation;launch
ちゃくしょく,着色,colouring;coloring
ちゃくせき,着席,sit down;seat
ちゃくちゃく,着々,steadily
ちゃくもく,着目,attention
ちゃくりく,着陸,landing;alighting;touch down
ちゃっこう,着工,start of (construction) work
ちゃのま,茶の間,living room (Japanese style)
ちゃのゆ,茶の湯,tea ceremony
ちゃわん,茶碗,rice bowl;tea cup;teacup
ちゃん,,suffix for familiar (female) person
ちゃんと,,perfectly;properly;exactly
ちやほや,,pamper;make a fuss of;spoil
ちゅう,中,medium;mediocre
ちゅう,注,annotation;explanatory note
ちゅうい,注意,caution;being careful;attention (heed);warning;advice
ちゅうおう,中央,centre;central;center;middle
ちゅうかん,中間,middle;midway;interim
ちゅうかん,昼間,daytime;during the day
ちゅうがえり,宙返り,somersault;looping-the-loop
ちゅうがく,中学,middle school;junior high school
ちゅうけい,中継,relay;hook-up
ちゅうげん,仲間,samurai's attendant;footman
ちゅうこ,中古,1.  used;second-hand;old; 2.  Middle Ages
ちゅうこく,忠告,advice;warning
ちゅうし,中止,suspension;stoppage;discontinuance;interruption
ちゅうし,中指,middle finger
ちゅうしゃ,注射,injection
ちゅうしゃ,駐車,parking (e.g. car)
ちゅうしょう,中傷,slander;libel;defamation
ちゅうしょう,抽象,abstract
ちゅうしょく,昼食,lunch;midday meal
ちゅうしん,中心,center;core;heart;pivot;emphasis;balance
ちゅうじつ,忠実,fidelity;faithfulness
ちゅうじゅん,中旬,second third of a month
ちゅうすう,中枢,centre;pivot;mainstay;nucleus;backbone;central figure;pillar;key man
ちゅうせい,中世,Middle Ages;mediaeval times
ちゅうせい,中性,neuter gender;neutral (chem.);indifference;sterility
ちゅうせん,抽選,lottery;raffle;drawing (of lots)
ちゅうだん,中断,interruption;suspension;break
ちゅうっぱら,中腹,irritated;offended
ちゅうと,中途,in the middle;half-way
ちゅうどく,中毒,poisoning
ちゅうにん,仲人,go-between;matchmaker
ちゅうねん,中年,middle-aged
ちゅうはん,昼飯,lunch;midday meal
ちゅうもく,注目,notice;attention;observation
ちゅうもん,注文,order;request
